epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,12034.9,1.38489,1.05947,0.99808,0.55056,0.44698,0.44935,0.26918,1.29783,0.97006,0.98408,0.0005941,0.0005941,0.0005941
43,12318,1.3754,1.05461,0.9965,0.55324,0.44747,0.44732,0.27079,1.29246,0.97032,0.98154,0.0005842,0.0005842,0.0005842
44,12612,1.38113,1.0616,0.99931,0.54872,0.45086,0.44459,0.2666,1.29589,0.97217,0.98244,0.0005743,0.0005743,0.0005743
45,12907.5,1.38319,1.06164,0.99935,0.5603,0.44968,0.45184,0.27163,1.29198,0.97105,0.98139,0.0005644,0.0005644,0.0005644
46,13199.6,1.37847,1.05738,0.9981,0.55251,0.4537,0.45128,0.27067,1.29683,0.96695,0.98275,0.0005545,0.0005545,0.0005545
47,13473.2,1.36939,1.04807,0.99456,0.55101,0.4604,0.4549,0.27136,1.29963,0.96506,0.98156,0.0005446,0.0005446,0.0005446
48,13745.3,1.37521,1.05427,0.99849,0.55665,0.45951,0.45766,0.27355,1.29302,0.96227,0.98143,0.0005347,0.0005347,0.0005347
49,14029.8,1.36775,1.04601,0.9922,0.55842,0.45273,0.45291,0.27191,1.29231,0.96107,0.9787,0.0005248,0.0005248,0.0005248
50,14323.5,1.37441,1.04923,0.99443,0.5496,0.45826,0.45141,0.2715,1.29134,0.96077,0.9796,0.0005149,0.0005149,0.0005149
51,14597.4,1.37267,1.04483,0.99492,0.56492,0.46025,0.45578,0.27435,1.2897,0.96108,0.97962,0.000505,0.000505,0.000505
52,14889.4,1.36954,1.04516,0.99267,0.56738,0.45544,0.45855,0.27678,1.28772,0.95327,0.9794,0.0004951,0.0004951,0.0004951
53,15173.1,1.37331,1.04115,0.99257,0.56845,0.45293,0.45462,0.27413,1.28869,0.9592,0.97893,0.0004852,0.0004852,0.0004852
54,15456.4,1.36412,1.03376,0.99279,0.56016,0.46102,0.45877,0.27611,1.28754,0.95408,0.97773,0.0004753,0.0004753,0.0004753
55,15740,1.37144,1.04021,0.9925,0.56796,0.45803,0.46105,0.2783,1.28794,0.95514,0.97795,0.0004654,0.0004654,0.0004654
56,16034.8,1.36539,1.0365,0.99321,0.5643,0.46104,0.46152,0.27812,1.28671,0.95314,0.97783,0.0004555,0.0004555,0.0004555
