epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6913.63,1.38508,1.05991,0.99812,0.54098,0.45663,0.45051,0.27151,1.29625,0.97455,0.9842,0.0005941,0.0005941,0.0005941
43,7079.19,1.3745,1.05441,0.9962,0.55269,0.45359,0.44965,0.27331,1.29392,0.97241,0.98234,0.0005842,0.0005842,0.0005842
44,7243.84,1.38291,1.06191,1.00005,0.55671,0.44769,0.44766,0.26994,1.29509,0.97089,0.98239,0.0005743,0.0005743,0.0005743
45,7406.91,1.3823,1.06125,0.99923,0.55837,0.45594,0.45532,0.27379,1.29282,0.9688,0.98176,0.0005644,0.0005644,0.0005644
46,7570.75,1.37886,1.05621,0.99799,0.55788,0.45781,0.4543,0.27414,1.29571,0.9656,0.98225,0.0005545,0.0005545,0.0005545
47,7734.59,1.37079,1.04783,0.99488,0.55581,0.45862,0.45599,0.27379,1.29693,0.96588,0.98206,0.0005446,0.0005446,0.0005446
48,7894.2,1.37388,1.05304,0.99804,0.56008,0.45239,0.45617,0.27417,1.29189,0.96218,0.98207,0.0005347,0.0005347,0.0005347
49,8055.16,1.36766,1.04439,0.99225,0.55418,0.45747,0.45329,0.27268,1.29221,0.96404,0.9797,0.0005248,0.0005248,0.0005248
50,8215.63,1.3745,1.04798,0.99445,0.5687,0.4524,0.45577,0.27406,1.29368,0.96303,0.98126,0.0005149,0.0005149,0.0005149
51,8376.93,1.37187,1.04281,0.99469,0.56614,0.45699,0.45698,0.27472,1.28976,0.9603,0.98024,0.000505,0.000505,0.000505
52,8538.27,1.36895,1.04291,0.99217,0.56381,0.45341,0.45802,0.277,1.28985,0.95736,0.98048,0.0004951,0.0004951,0.0004951
53,8700.29,1.37392,1.04085,0.99226,0.56381,0.45545,0.45802,0.27722,1.28949,0.95754,0.97907,0.0004852,0.0004852,0.0004852
54,8862.09,1.36571,1.03212,0.99328,0.55694,0.45994,0.45924,0.2779,1.28407,0.95426,0.97771,0.0004753,0.0004753,0.0004753
55,9022.64,1.372,1.03802,0.99266,0.55591,0.45943,0.46107,0.27864,1.28934,0.95728,0.97995,0.0004654,0.0004654,0.0004654
56,9183.51,1.36594,1.03617,0.99359,0.57339,0.45532,0.46376,0.27865,1.28891,0.954,0.97907,0.0004555,0.0004555,0.0004555
57,9342.89,1.36169,1.02931,0.9915,0.56817,0.461,0.4646,0.28027,1.28565,0.95362,0.97829,0.0004456,0.0004456,0.0004456
58,9503.51,1.36309,1.0253,0.99262,0.56766,0.45665,0.46062,0.27868,1.28437,0.95396,0.97748,0.0004357,0.0004357,0.0004357
59,9661.87,1.36473,1.02565,0.99052,0.56025,0.46396,0.46247,0.2788,1.2874,0.95369,0.9783,0.0004258,0.0004258,0.0004258
60,9823.1,1.36275,1.02356,0.98703,0.56801,0.46486,0.46436,0.28126,1.28394,0.95061,0.97776,0.0004159,0.0004159,0.0004159
61,9982.99,1.35949,1.02146,0.98908,0.57263,0.46432,0.46403,0.27994,1.2842,0.9485,0.97783,0.000406,0.000406,0.000406
62,10141.5,1.36123,1.01866,0.98852,0.56771,0.46759,0.46661,0.28248,1.2851,0.94887,0.97758,0.0003961,0.0003961,0.0003961
63,10303,1.35156,1.01863,0.98775,0.58212,0.45531,0.46356,0.28123,1.28487,0.9475,0.97639,0.0003862,0.0003862,0.0003862
64,10462.3,1.3545,1.01456,0.98624,0.572,0.46345,0.46567,0.28187,1.2866,0.94736,0.97741,0.0003763,0.0003763,0.0003763
65,10623.3,1.35885,1.01366,0.98678,0.58762,0.4568,0.46667,0.28211,1.28265,0.94383,0.97582,0.0003664,0.0003664,0.0003664
66,10784.2,1.35423,1.00673,0.98732,0.57978,0.45957,0.46796,0.28296,1.28186,0.94275,0.97617,0.0003565,0.0003565,0.0003565
67,10943.8,1.35609,1.0101,0.98833,0.57769,0.45926,0.46867,0.28304,1.2817,0.94337,0.97639,0.0003466,0.0003466,0.0003466
68,11103.2,1.3515,1.00622,0.98583,0.57509,0.46032,0.46871,0.28304,1.28292,0.93971,0.9771,0.0003367,0.0003367,0.0003367
69,11263.2,1.34888,1.00336,0.98474,0.56922,0.4634,0.46996,0.28384,1.2822,0.93964,0.97578,0.0003268,0.0003268,0.0003268
70,11422.7,1.34809,1.00457,0.98719,0.5675,0.46635,0.46882,0.28427,1.27903,0.94129,0.97485,0.0003169,0.0003169,0.0003169
