epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
40,25579.5,0.85703,0.45944,0.11428,0.61431,0.48987,0.46361,0.28611,0.59359,0.52591,0.05966,6.139e-05,6.139e-05,6.139e-05
41,26205.7,0.88045,0.45337,0.12155,0.61495,0.50353,0.47899,0.29414,0.59209,0.52654,0.06058,6.04e-05,6.04e-05,6.04e-05
42,26835.2,0.86203,0.45536,0.11807,0.61508,0.4993,0.47966,0.29596,0.58953,0.52835,0.05923,5.941e-05,5.941e-05,5.941e-05
43,27463,0.8577,0.4541,0.11842,0.59846,0.50434,0.47601,0.29481,0.59196,0.52621,0.06037,5.842e-05,5.842e-05,5.842e-05
44,28103.9,0.87282,0.45379,0.12263,0.61781,0.49737,0.4768,0.29502,0.59197,0.52746,0.05991,5.743e-05,5.743e-05,5.743e-05
45,28736.1,0.86625,0.45551,0.11883,0.60856,0.50448,0.47787,0.29387,0.59645,0.52635,0.06159,5.644e-05,5.644e-05,5.644e-05
46,29363.6,0.87137,0.45373,0.12342,0.60586,0.49747,0.47716,0.29578,0.59994,0.52642,0.06195,5.545e-05,5.545e-05,5.545e-05
47,29991.6,0.87179,0.45183,0.12219,0.60346,0.49726,0.46797,0.28822,0.59769,0.52599,0.06194,5.446e-05,5.446e-05,5.446e-05
48,30622.5,0.85765,0.455,0.11868,0.59833,0.50715,0.47896,0.2965,0.59008,0.52845,0.06003,5.347e-05,5.347e-05,5.347e-05
49,31251.7,0.86174,0.4522,0.11901,0.60196,0.50921,0.48064,0.29782,0.58946,0.52638,0.05945,5.248e-05,5.248e-05,5.248e-05
50,31879,0.85479,0.45344,0.11481,0.60879,0.50596,0.48059,0.29824,0.5937,0.52578,0.06095,5.149e-05,5.149e-05,5.149e-05
51,32510.4,0.8596,0.45187,0.11641,0.61433,0.50496,0.47993,0.29796,0.59117,0.52455,0.0608,5.05e-05,5.05e-05,5.05e-05
52,33139,0.84956,0.45295,0.11442,0.60661,0.50887,0.48357,0.30086,0.5888,0.52648,0.06021,4.951e-05,4.951e-05,4.951e-05
53,33768.2,0.85985,0.44871,0.11739,0.60833,0.51138,0.48702,0.30335,0.59039,0.5236,0.06079,4.852e-05,4.852e-05,4.852e-05
54,34400.4,0.84888,0.45045,0.11802,0.60711,0.50735,0.48518,0.3,0.58823,0.52438,0.06043,4.753e-05,4.753e-05,4.753e-05
55,35030.4,0.85257,0.44919,0.11484,0.61531,0.51538,0.48992,0.3038,0.58655,0.52157,0.06011,4.654e-05,4.654e-05,4.654e-05
56,35657.8,0.84143,0.44731,0.11531,0.61325,0.51834,0.49137,0.30527,0.5854,0.52215,0.0594,4.555e-05,4.555e-05,4.555e-05
57,36286.9,0.83424,0.44844,0.11176,0.61985,0.51841,0.49266,0.30589,0.58336,0.5216,0.05875,4.456e-05,4.456e-05,4.456e-05
58,36916.2,0.8388,0.44473,0.11397,0.62515,0.51133,0.49145,0.3047,0.586,0.5213,0.05958,4.357e-05,4.357e-05,4.357e-05
59,37545.7,0.83912,0.44509,0.11218,0.62016,0.51877,0.49388,0.30623,0.58334,0.52313,0.05908,4.258e-05,4.258e-05,4.258e-05
60,38172.4,0.84899,0.44214,0.11539,0.61985,0.51943,0.49394,0.30715,0.58248,0.52249,0.05905,4.159e-05,4.159e-05,4.159e-05
61,38799,0.83889,0.44432,0.11454,0.62709,0.51764,0.49143,0.30469,0.58334,0.52186,0.05964,4.06e-05,4.06e-05,4.06e-05
62,39427.2,0.83087,0.44468,0.1101,0.62224,0.52361,0.49799,0.30883,0.58295,0.51935,0.0594,3.961e-05,3.961e-05,3.961e-05
63,40056,0.83742,0.4414,0.11451,0.62483,0.51836,0.49617,0.3084,0.58452,0.51971,0.05965,3.862e-05,3.862e-05,3.862e-05
64,40684.3,0.82855,0.44183,0.11079,0.62418,0.52159,0.4964,0.30836,0.58293,0.51869,0.05974,3.763e-05,3.763e-05,3.763e-05
65,41312.3,0.83603,0.44204,0.11216,0.63134,0.51741,0.49701,0.30864,0.57966,0.51984,0.05882,3.664e-05,3.664e-05,3.664e-05
66,41944.6,0.83844,0.43918,0.11601,0.62611,0.52711,0.50035,0.31125,0.58131,0.51924,0.05939,3.565e-05,3.565e-05,3.565e-05
67,42577.6,0.82003,0.44237,0.10873,0.62617,0.52876,0.50321,0.31232,0.58142,0.51844,0.06005,3.466e-05,3.466e-05,3.466e-05
68,43206.3,0.83051,0.4388,0.10858,0.63292,0.51947,0.5012,0.31089,0.58152,0.51787,0.05971,3.367e-05,3.367e-05,3.367e-05
69,43833.4,0.8216,0.43844,0.10937,0.63016,0.52269,0.50169,0.31104,0.58132,0.51723,0.05939,3.268e-05,3.268e-05,3.268e-05
70,44493,0.81457,0.43941,0.1061,0.62445,0.52414,0.49936,0.30981,0.58061,0.51839,0.05965,3.169e-05,3.169e-05,3.169e-05
71,45152.6,0.81877,0.43732,0.1066,0.62805,0.52359,0.49971,0.31039,0.58027,0.5184,0.05957,3.07e-05,3.07e-05,3.07e-05
72,45795.8,0.8181,0.43768,0.1089,0.62837,0.52756,0.50287,0.312,0.57846,0.51785,0.05907,2.971e-05,2.971e-05,2.971e-05
73,46457,0.82327,0.43691,0.10791,0.63781,0.52617,0.50522,0.31269,0.57853,0.51743,0.05898,2.872e-05,2.872e-05,2.872e-05
74,47109.8,0.82427,0.43433,0.10984,0.63963,0.52408,0.50452,0.31303,0.57965,0.5173,0.05979,2.773e-05,2.773e-05,2.773e-05
75,47750.8,0.80945,0.43721,0.10535,0.63591,0.52295,0.50422,0.31218,0.57774,0.51842,0.05941,2.674e-05,2.674e-05,2.674e-05
76,48400.9,0.81464,0.43467,0.10696,0.63151,0.52705,0.50277,0.31121,0.58009,0.51707,0.05975,2.575e-05,2.575e-05,2.575e-05
77,49037.5,0.80991,0.43445,0.10675,0.63904,0.52816,0.50588,0.31394,0.57928,0.51706,0.05986,2.476e-05,2.476e-05,2.476e-05
78,49691.9,0.81177,0.43451,0.10715,0.64022,0.52486,0.50671,0.3149,0.57687,0.51689,0.05851,2.377e-05,2.377e-05,2.377e-05
79,50347.9,0.81742,0.43365,0.10697,0.64158,0.52589,0.50575,0.31416,0.5754,0.51731,0.05853,2.278e-05,2.278e-05,2.278e-05
80,50989.7,0.81776,0.43288,0.10849,0.643,0.52469,0.50466,0.31272,0.57611,0.51719,0.05874,2.179e-05,2.179e-05,2.179e-05
81,51660.3,0.81532,0.43234,0.1056,0.63297,0.529,0.5037,0.31238,0.57687,0.51695,0.05935,2.08e-05,2.08e-05,2.08e-05
82,52339.7,0.80948,0.43196,0.10499,0.64397,0.52181,0.50548,0.31336,0.57608,0.51707,0.05888,1.981e-05,1.981e-05,1.981e-05
83,52998.5,0.81382,0.43204,0.10659,0.64835,0.52372,0.5071,0.31483,0.5756,0.51646,0.05866,1.882e-05,1.882e-05,1.882e-05
84,53659.9,0.80974,0.43192,0.10518,0.64196,0.52702,0.50793,0.31531,0.57659,0.51518,0.05887,1.783e-05,1.783e-05,1.783e-05
85,54358,0.80088,0.43142,0.10272,0.64378,0.52735,0.50844,0.31505,0.57736,0.51554,0.05886,1.684e-05,1.684e-05,1.684e-05
86,55032.6,0.81075,0.4295,0.10609,0.63957,0.53002,0.50697,0.31449,0.57746,0.51614,0.05923,1.585e-05,1.585e-05,1.585e-05
87,55713.3,0.79998,0.43167,0.10216,0.64186,0.52945,0.5072,0.31445,0.57684,0.51635,0.05945,1.486e-05,1.486e-05,1.486e-05
88,56390,0.80836,0.42971,0.10437,0.6398,0.53113,0.50767,0.31446,0.57413,0.51743,0.05846,1.387e-05,1.387e-05,1.387e-05
89,57059.2,0.80117,0.4301,0.10321,0.63782,0.52978,0.5074,0.31471,0.57393,0.51715,0.05828,1.288e-05,1.288e-05,1.288e-05
90,57712.3,0.78727,0.43083,0.10074,0.63893,0.5288,0.50677,0.31447,0.57523,0.51668,0.05877,1.189e-05,1.189e-05,1.189e-05
91,58366.3,0.58364,0.45902,0.04949,0.64188,0.52885,0.50689,0.31418,0.57588,0.51681,0.0588,1.09e-05,1.09e-05,1.09e-05
92,59021.6,0.58188,0.45839,0.04957,0.6429,0.52823,0.50813,0.31453,0.57625,0.51658,0.059,9.91e-06,9.91e-06,9.91e-06
93,59692.8,0.58176,0.45689,0.04957,0.64903,0.52855,0.5091,0.31555,0.57588,0.51636,0.05889,8.92e-06,8.92e-06,8.92e-06
94,60319.9,0.57975,0.45578,0.04894,0.64904,0.52936,0.50975,0.3158,0.57517,0.5168,0.05861,7.93e-06,7.93e-06,7.93e-06
95,60934.9,0.58072,0.45579,0.04904,0.64829,0.53026,0.51,0.31568,0.57505,0.51685,0.05857,6.94e-06,6.94e-06,6.94e-06
96,61551.9,0.58098,0.4548,0.04944,0.65207,0.53023,0.51041,0.31596,0.57532,0.51737,0.05871,5.95e-06,5.95e-06,5.95e-06
97,62175.9,0.57617,0.45506,0.04862,0.6488,0.53171,0.51145,0.31626,0.57532,0.51753,0.05885,4.96e-06,4.96e-06,4.96e-06
98,62776.7,0.58333,0.4534,0.04874,0.64381,0.53278,0.51124,0.31641,0.57508,0.51799,0.05858,3.97e-06,3.97e-06,3.97e-06
99,63380.7,0.58198,0.4532,0.04852,0.64567,0.53259,0.51153,0.31651,0.5748,0.51809,0.05876,2.98e-06,2.98e-06,2.98e-06
100,63988.8,0.57517,0.45448,0.04856,0.64538,0.5305,0.51081,0.31599,0.57466,0.51805,0.05871,1.99e-06,1.99e-06,1.99e-06
