epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6554.66,1.38346,1.06704,1.00527,0.54595,0.44496,0.44233,0.26625,1.3009,0.97599,0.98507,0.0005941,0.0005941,0.0005941
43,6708.25,1.38188,1.06821,1.00455,0.54777,0.44982,0.44148,0.26618,1.29917,0.97793,0.98544,0.0005842,0.0005842,0.0005842
44,6863.87,1.38039,1.05888,1.00336,0.54062,0.45026,0.44536,0.26925,1.29614,0.97281,0.98435,0.0005743,0.0005743,0.0005743
45,7015.64,1.37459,1.05098,1.00053,0.54788,0.44781,0.44385,0.2678,1.29831,0.97152,0.98545,0.0005644,0.0005644,0.0005644
46,7167.73,1.37585,1.05868,1.00236,0.55429,0.44712,0.44747,0.27007,1.29457,0.9695,0.98439,0.0005545,0.0005545,0.0005545
47,7323.29,1.37725,1.05274,1.00158,0.548,0.44786,0.45012,0.27037,1.30163,0.96961,0.98503,0.0005446,0.0005446,0.0005446
48,7479.01,1.37122,1.05226,1.00037,0.543,0.45145,0.44403,0.26742,1.29464,0.96812,0.98376,0.0005347,0.0005347,0.0005347
49,7634.51,1.36521,1.04268,0.99679,0.5556,0.45654,0.45245,0.27279,1.29277,0.96111,0.98228,0.0005248,0.0005248,0.0005248
50,7790.81,1.37388,1.04432,1.00001,0.5644,0.44525,0.45266,0.27251,1.2986,0.96221,0.98373,0.0005149,0.0005149,0.0005149
51,7945.31,1.36524,1.03676,0.99737,0.55446,0.45269,0.45242,0.27269,1.28692,0.96091,0.98032,0.000505,0.000505,0.000505
52,8097.17,1.36933,1.03863,0.99767,0.5494,0.45842,0.45358,0.27417,1.2922,0.95903,0.98158,0.0004951,0.0004951,0.0004951
53,8249.6,1.36487,1.03274,0.99459,0.55056,0.45537,0.45275,0.27374,1.28843,0.95855,0.98035,0.0004852,0.0004852,0.0004852
54,8406.7,1.36848,1.03812,0.99791,0.55026,0.4539,0.45109,0.2737,1.28987,0.95953,0.98037,0.0004753,0.0004753,0.0004753
55,8561.55,1.36371,1.03257,0.99553,0.55436,0.45076,0.45306,0.27445,1.28929,0.95926,0.97946,0.0004654,0.0004654,0.0004654
56,8718,1.36004,1.02837,0.99647,0.55739,0.45277,0.45454,0.27482,1.29135,0.95889,0.98068,0.0004555,0.0004555,0.0004555
57,8873.76,1.36203,1.02492,0.99573,0.56077,0.45538,0.45734,0.27762,1.28697,0.95415,0.97914,0.0004456,0.0004456,0.0004456
58,9031.03,1.36382,1.02691,0.99594,0.5591,0.45855,0.45813,0.27687,1.28548,0.95066,0.97811,0.0004357,0.0004357,0.0004357
59,9188.79,1.3539,1.02039,0.9902,0.55953,0.4583,0.45768,0.2767,1.28812,0.95317,0.97902,0.0004258,0.0004258,0.0004258
60,9344.79,1.35293,1.01853,0.99332,0.56253,0.45971,0.46145,0.27903,1.28582,0.94788,0.97885,0.0004159,0.0004159,0.0004159
61,9498.63,1.35522,1.01435,0.98922,0.55402,0.46266,0.46017,0.27859,1.28473,0.95066,0.97796,0.000406,0.000406,0.000406
62,9655.61,1.34876,1.01576,0.99376,0.56118,0.45902,0.4589,0.27858,1.28381,0.94867,0.9781,0.0003961,0.0003961,0.0003961
63,9808.52,1.35036,1.01044,0.99067,0.56349,0.45978,0.45885,0.27956,1.28262,0.94678,0.97711,0.0003862,0.0003862,0.0003862
64,9965.12,1.3462,1.00876,0.99169,0.55509,0.46325,0.45933,0.27827,1.28354,0.94642,0.97702,0.0003763,0.0003763,0.0003763
65,10122,1.3488,1.01443,0.99235,0.56279,0.45815,0.46044,0.27829,1.28296,0.94722,0.97681,0.0003664,0.0003664,0.0003664
66,10278.8,1.34838,1.00603,0.99139,0.56098,0.45852,0.46048,0.27918,1.28295,0.94606,0.97734,0.0003565,0.0003565,0.0003565
67,10437.6,1.34267,1.00165,0.99007,0.5651,0.46068,0.46033,0.27955,1.28166,0.94674,0.97691,0.0003466,0.0003466,0.0003466
68,10593.1,1.34389,1.00607,0.98968,0.55877,0.46415,0.46331,0.28021,1.28192,0.94527,0.97719,0.0003367,0.0003367,0.0003367
69,10744.6,1.33948,0.99745,0.98797,0.5632,0.46374,0.46229,0.27979,1.28242,0.94319,0.97662,0.0003268,0.0003268,0.0003268
70,10899.4,1.34266,1.00151,0.9881,0.56421,0.46237,0.46334,0.281,1.27895,0.94286,0.9758,0.0003169,0.0003169,0.0003169
71,11055.8,1.34141,0.99593,0.98825,0.56509,0.46301,0.4636,0.2822,1.27891,0.9412,0.97513,0.000307,0.000307,0.000307
72,11212.8,1.34058,0.99115,0.98667,0.57504,0.45672,0.46469,0.28172,1.28072,0.94118,0.97619,0.0002971,0.0002971,0.0002971
73,11370.8,1.33779,0.9944,0.9862,0.5699,0.45993,0.46364,0.28139,1.28149,0.94157,0.97615,0.0002872,0.0002872,0.0002872
74,11527.8,1.33973,0.98696,0.98823,0.56958,0.46171,0.46569,0.2837,1.28088,0.94127,0.97626,0.0002773,0.0002773,0.0002773
75,11682.9,1.33704,0.99352,0.98656,0.56236,0.46687,0.46648,0.28371,1.28007,0.94114,0.97584,0.0002674,0.0002674,0.0002674
76,11838.4,1.33657,0.98533,0.98503,0.56076,0.46874,0.46642,0.28299,1.27855,0.93903,0.97517,0.0002575,0.0002575,0.0002575
77,11994.6,1.33453,0.98534,0.98642,0.56496,0.46366,0.4663,0.28245,1.28083,0.94003,0.97549,0.0002476,0.0002476,0.0002476
78,12151.4,1.3379,0.98558,0.98548,0.56746,0.46219,0.46716,0.28314,1.28067,0.93995,0.97547,0.0002377,0.0002377,0.0002377
79,12305.1,1.33234,0.97864,0.98345,0.5703,0.46623,0.46927,0.28447,1.27957,0.93897,0.97519,0.0002278,0.0002278,0.0002278
80,12458.4,1.33199,0.97903,0.98155,0.5716,0.46346,0.46892,0.28468,1.27868,0.93703,0.97501,0.0002179,0.0002179,0.0002179
81,12613,1.33253,0.97653,0.98293,0.57136,0.46957,0.47027,0.28502,1.27906,0.93682,0.9753,0.000208,0.000208,0.000208
82,12768,1.3287,0.97319,0.98176,0.57607,0.46545,0.46871,0.28417,1.27893,0.93709,0.97472,0.0001981,0.0001981,0.0001981
83,12920.2,1.32876,0.97754,0.98257,0.57298,0.46596,0.46919,0.28441,1.27945,0.93579,0.97454,0.0001882,0.0001882,0.0001882
84,13075.6,1.32655,0.97212,0.98048,0.57121,0.46573,0.46968,0.2854,1.27955,0.93508,0.97491,0.0001783,0.0001783,0.0001783
85,13231.4,1.33462,0.98123,0.98444,0.56515,0.46612,0.468,0.28437,1.2801,0.93624,0.97454,0.0001684,0.0001684,0.0001684
86,13387.3,1.33082,0.9774,0.98261,0.56622,0.46796,0.46873,0.28458,1.27903,0.93489,0.97426,0.0001585,0.0001585,0.0001585
87,13542.4,1.32699,0.97153,0.98169,0.56904,0.46873,0.4699,0.28497,1.27817,0.93459,0.97384,0.0001486,0.0001486,0.0001486
88,13696,1.32317,0.9695,0.97946,0.56983,0.46941,0.47106,0.28554,1.27844,0.93384,0.97383,0.0001387,0.0001387,0.0001387
89,13853.2,1.32102,0.9597,0.97796,0.56474,0.4718,0.47092,0.28549,1.27822,0.93291,0.97374,0.0001288,0.0001288,0.0001288
90,14009.1,1.32222,0.96387,0.98011,0.56759,0.4692,0.4714,0.28553,1.27872,0.93267,0.97401,0.0001189,0.0001189,0.0001189
91,14157.2,1.26402,0.8814,0.9605,0.56157,0.47002,0.47151,0.28544,1.28053,0.9332,0.97433,0.000109,0.000109,0.000109
92,14302.7,1.26033,0.87447,0.95945,0.56683,0.46887,0.47143,0.28532,1.28043,0.9328,0.97438,9.91e-05,9.91e-05,9.91e-05
93,14451.7,1.25861,0.87374,0.959,0.56868,0.46884,0.47156,0.28584,1.27996,0.93205,0.97399,8.92e-05,8.92e-05,8.92e-05
94,14600.3,1.2608,0.86972,0.95854,0.56961,0.46692,0.47155,0.28534,1.28021,0.93149,0.97393,7.93e-05,7.93e-05,7.93e-05
95,14745.9,1.2571,0.86738,0.95797,0.56784,0.46807,0.47107,0.28549,1.28027,0.93142,0.97399,6.94e-05,6.94e-05,6.94e-05
96,14892.8,1.25443,0.86642,0.95838,0.56704,0.46642,0.47142,0.28588,1.27992,0.93122,0.97409,5.95e-05,5.95e-05,5.95e-05
97,15039.5,1.25064,0.86065,0.95737,0.5653,0.46941,0.47173,0.28608,1.28026,0.93077,0.97415,4.96e-05,4.96e-05,4.96e-05
98,15185,1.25558,0.86231,0.95649,0.57245,0.46293,0.47059,0.28615,1.28049,0.93066,0.97419,3.97e-05,3.97e-05,3.97e-05
99,15331.5,1.2541,0.86265,0.95577,0.57257,0.46296,0.47069,0.28588,1.28068,0.93088,0.97427,2.98e-05,2.98e-05,2.98e-05
100,15478,1.24965,0.85977,0.95593,0.57313,0.46393,0.47076,0.28585,1.28092,0.93081,0.97434,1.99e-05,1.99e-05,1.99e-05
